"","p","prior","likelihood","h","posterior"
"X",0,0.05,0,0,0
"X.1",0.0526315789473684,0.05,0.00116497958750845,5.82489793754225e-05,0.000674461087113361
"X.2",0.105263157894737,0.05,0.0132280794938087,0.000661403974690436,0.00765835296298827
"X.3",0.157894736842105,0.05,0.0465466253601305,0.00232733126800652,0.0269480151227321
"X.4",0.210526315789474,0.05,0.0998782225230155,0.00499391112615078,0.0578241672765229
"X.5",0.263157894736842,0.05,0.161187558321128,0.00805937791605641,0.0933190048822446
"X.6",0.315789473684211,0.05,0.214263601501375,0.0107131800750687,0.124047204901256
"X.7",0.368421052631579,0.05,0.245562994972426,0.0122781497486213,0.142167885446074
"X.8",0.421052631578947,0.05,0.248541745544036,0.0124270872772018,0.143892423257989
"X.9",0.473684210526316,0.05,0.224726000676785,0.0112363000338392,0.130104376372176
"X.10",0.526315789473684,0.05,0.182028060548196,0.00910140302740978,0.105384544861463
"X.11",0.578947368421053,0.05,0.13146009681668,0.006573004840834,0.0761083891612501
"X.12",0.631578947368421,0.05,0.083559630233673,0.00417798151168365,0.0483765721309557
"X.13",0.684210526315789,0.05,0.0456419506156775,0.00228209753078388,0.0264242566653563
"X.14",0.736842105263158,0.05,0.0205596375409602,0.00102798187704801,0.0119029342962047
"X.15",0.789473684210526,0.05,0.00710245137941443,0.000355122568970722,0.00411194078410829
"X.16",0.842105263157895,0.05,0.00163640479781709,8.18202398908543e-05,0.000947391156658551
"X.17",0.894736842105263,0.05,0.000183087605450641,9.15438027253204e-06,0.000105997964885651
"X.18",0.947368421052632,0.05,3.59561601082857e-06,1.79780800541429e-07,2.08167002195483e-06
"X.19",1,0.05,0,0,0
